"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
1e-04,-0.0029,0.0051,0.0035,-0.0024,0.0083,0.0042,-0.002,0.0087,0.0087,0.0032,0.0152,0.0084,0.0034,0.0152,-7e-04,-0.0032,0.0019
-0.0186,-0.0695,0.0377,-0.0244,-0.1061,0.036,-0.0378,-0.1132,0.0362,-0.0286,-0.1234,0.0672,-0.0251,-0.1153,0.0631,-0.0302,-0.0859,0.0224
-0.1064,-0.1507,-0.0432,-0.0768,-0.1485,-0.0198,-0.0651,-0.1395,-0.0034,-0.0551,-0.1208,-4e-04,-0.0586,-0.1132,-0.0059,-0.1066,-0.1569,-0.0421
4e-04,-0.0011,0.0022,7e-04,-0.0018,0.0037,9e-04,-0.0018,0.0037,0.0016,-0.0015,0.0058,0.0015,-0.0019,0.0051,0,-0.0013,0.0013
-0.0013,-0.0047,9e-04,-0.003,-0.0058,6e-04,-0.0024,-0.0061,9e-04,-0.0019,-0.0053,0.001,-0.0019,-0.0054,0.001,-8e-04,-0.0025,0.0011
0.0025,-0.0023,0.0079,0.0024,-0.0022,0.0099,0.0029,-0.002,0.0098,0.0014,-0.0025,0.0078,0.0011,-0.0025,0.0062,0.0032,-0.0038,0.0109
-1e-04,-0.002,0.0017,6e-04,-0.0019,0.0037,0.001,-0.0015,0.0037,4e-04,-0.0024,0.0033,5e-04,-0.002,0.0034,0,-0.0016,0.0019
-0.0165,-0.0403,0.0093,-0.0166,-0.0695,0.0258,-0.0111,-0.0589,0.0258,-0.0072,-0.0604,0.0087,-0.0073,-0.0569,0.014,-0.0085,-0.0333,0.0193
5e-04,-0.0014,0.0023,0.0014,-0.0028,0.0072,0.0019,-0.0024,0.0079,-6e-04,-0.016,0.0127,-6e-04,-0.0166,0.0097,5e-04,-5e-04,0.0013
