"","V1","V2","V3","V4"
"1",0.235,0.238,0.2117,0.9902
"2",0.1522,0.1924,0.1034,0.9767
"3",0.0989,0.1115,0.1021,0.8572
"4",0.0601,0.0865,0.0664,0.8439
"5",0.0453,0.0739,0.0651,0.7128
"6",0.0253,0.0689,0.0552,0.0086
"7",NA,0.0525,NA,NA
"8",NA,0.051,NA,NA
"9",NA,0.0443,NA,NA
"10",NA,0.041,NA,NA
"11",0.1151,0.1084,0.098,0.1353
"12",0.0899,0.093,0.0932,0.0715
