0.005 ,0.001 ,0.007 ,0.038 ,0.027 ,0.049 ,0.041 ,0.023 ,0.067 ,0.081 ,0.025 ,0.163 
0.019 ,-0.026 ,0.056 ,0.095 ,-0.004 ,0.202 ,0.204 ,0.008 ,0.421 ,-0.070 ,-0.757 ,0.416 
0.940 ,0.925 ,1.001 ,0.280 ,0.101 ,0.473 ,0.379 ,0.210 ,0.547 ,0.252 ,-0.064 ,0.502 
-0.001 ,-0.004 ,0.004 ,-0.024 ,-0.037 ,-0.012 ,-0.008 ,-0.035 ,0.019 ,-0.025 ,-0.156 ,0.054 
0.005 ,-0.005 ,0.012 ,0.159 ,0.048 ,0.258 ,-0.041 ,-0.234 ,0.211 ,0.044 ,-0.270 ,0.420 
0.002 ,-0.020 ,0.034 ,-0.065 ,-0.122 ,-0.013 ,-0.054 ,-0.174 ,0.070 ,-0.155 ,-0.798 ,0.274 
0.006 ,-0.001 ,0.013 ,0.037 ,-0.093 ,0.149 ,0.080 ,-0.089 ,0.243 ,-0.015 ,-0.337 ,0.243 
