"","V1","V2","V3","V4"
"1",0.0643,0.1224,0.08,0.2933
"2",0.0529,0.0473,0.0311,0.263
"3",0.051,0.0428,0.0248,0.2561
"4",0.0503,0.0383,0.0229,0.2216
"5",0.0325,0.0325,0.0143,0.1775
"6",0.032,0.0302,0,0.0536
"7",0.0466,0.0247,0.0241,0.1159
"8",0.0296,0.0409,0.0348,0.0085
"9",NA,0.0309,NA,NA
