"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"0.0526 (0.0252, 0.1111)",0.0252,0.1111,"0.0041 (0.0013, 0.0067)",0.0013,0.0067,"0.0039 (0.0014, 0.0068)",0.0014,0.0068,"0.0412 (0.0226, 0.0672)",0.0226,0.0672,"0.0326 (0.0021, 0.0465)",0.0021,0.0465,"0.0377 (0.0265, 0.0485)",0.0265,0.0485
"0.1193 (-0.3403, 0.4417)",-0.3403,0.4417,"0.0163 (-0.0213, 0.0509)",-0.0213,0.0509,"0.0161 (-0.0197, 0.0518)",-0.0197,0.0518,"0.2044 (0.008, 0.4205)",0.008,0.4205,"0.0907 (-0.0122, 0.2071)",-0.0122,0.2071,"0.0953 (-0.004, 0.2016)",-0.004,0.2016
"0.3027 (0.0701, 0.5015)",0.0701,0.5015,"0.9568 (0.9269, 0.9911)",0.9269,0.9911,"0.9595 (0.9271, 0.9902)",0.9271,0.9902,"0.3794 (0.2099, 0.5471)",0.2099,0.5471,"0.385 (0.1581, 0.9876)",0.1581,0.9876,"0.2802 (0.1013, 0.4725)",0.1013,0.4725
"-0.0133 (-0.049, 0.0239)",-0.049,0.0239,"0 (-0.0034, 0.0042)",-0.0034,0.0042,"1e-04 (-0.0034, 0.0042)",-0.0034,0.0042,"-0.0083 (-0.0346, 0.0194)",-0.0346,0.0194,"-0.0206 (-0.0341, 0.0026)",-0.0341,0.0026,"-0.0243 (-0.0365, -0.0116)",-0.0365,-0.0116
"-3e-04 (-0.2295, 0.2794)",-0.2295,0.2794,"0.0028 (-0.0055, 0.0115)",-0.0055,0.0115,"0.0021 (-0.0061, 0.0102)",-0.0061,0.0102,"-0.0413 (-0.2339, 0.2114)",-0.2339,0.2114,"0.136 (-0.0036, 0.2366)",-0.0036,0.2366,"0.1591 (0.0482, 0.258)",0.0482,0.258
"-0.0857 (-0.3083, 0.1382)",-0.3083,0.1382,"0.0043 (-0.0184, 0.0291)",-0.0184,0.0291,"0.0046 (-0.0184, 0.0287)",-0.0184,0.0287,"-0.0543 (-0.1744, 0.0699)",-0.1744,0.0699,"-0.0554 (-0.1116, 0.0205)",-0.1116,0.0205,"-0.0652 (-0.1222, -0.0129)",-0.1222,-0.0129
"0.0569 (-0.1682, 0.255)",-0.1682,0.255,"0.0055 (-5e-04, 0.0113)",-5e-04,0.0113,"0.0055 (0, 0.0117)",0,0.0117,"0.0804 (-0.0892, 0.2428)",-0.0892,0.2428,"0.0305 (-0.0734, 0.1488)",-0.0734,0.1488,"0.0372 (-0.0925, 0.1488)",-0.0925,0.1488
