"V1","V2","V3","V4","V5"
"0.001 (-0.003, 0.002)","0.015 (0.011, 0.017)","0.003 (0.004, 0.016)","-0.001 (-0.003, 0.002)","0.616 (-0.003, 0.002)"
"-0.031 (-0.088, 0.034)","0.034 (-0.096, 0.066)","-0.068 (-0.124, 0.052)","-0.017 (-0.074, 0.012)","-0.778 (-0.081, 0.035)"
"-0.107 (-0.16, -0.052)","-0.054 (-0.096, 0)","-0.069 (-0.092, 0.001)","-0.103 (-0.146, -0.047)","0.179 (-0.157, -0.052)"
"0.001 (-0.003, 0.002)","0.001 (-0.003, 0.003)","-0.001 (-0.003, 0.003)","0 (-0.002, 0.001)","-0.497 (-0.003, 0.002)"
"0 (-0.002, 0.002)","-0.001 (-0.005, 0.002)","0.003 (-0.004, 0.003)","-0.001 (-0.002, 0.001)","0.914 (-0.002, 0.002)"
"-0.001 (-0.003, 0.002)","0.001 (-0.004, 0.003)","-0.001 (-0.003, 0.003)","0.001 (-0.003, 0.003)","-0.299 (-0.004, 0.002)"
"-0.002 (-0.003, 0.003)","0.008 (-0.001, 0.013)","0.001 (-0.002, 0.011)","0 (-0.003, 0.003)","-0.403 (-0.003, 0.003)"
"0.001 (-0.002, 0.004)","0.003 (-0.002, 0.007)","-0.002 (-0.002, 0.006)","0 (-0.002, 0.003)","1.144 (-0.002, 0.004)"
"0 (-0.002, 0.002)","0.002 (-0.004, 0.005)","0 (-0.004, 0.004)","-0.001 (-0.002, 0.001)","-1.378 (-0.002, 0.002)"
