"V1","V2","V3","V4","V5","V6","V7","V8","V9"
8e-04,-0.0313,-0.1066,6e-04,-3e-04,-6e-04,-0.0016,0.0011,-1e-04
0.0154,0.0343,-0.0541,9e-04,-0.001,7e-04,0.0077,0.0033,0.0023
0.0029,-0.0678,-0.0692,-6e-04,0.003,-0.0014,8e-04,-0.0018,-2e-04
-7e-04,-0.0172,-0.1032,1e-04,-0.0012,0.0011,0,3e-04,-9e-04
0.6164,-0.7776,0.1795,-0.4968,0.9136,-0.2988,-0.4028,1.144,-1.3783
